sep=;
Astrée Analysis Report
1. Results
1.1. Data flow
Variable;Function;Access;Process;Application;Core;Data races;Shared variable;Variable class;Location
__ASTREE_Task;ActivateTask;read;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1192.4-31
__ASTREE_Task;TerminateTask;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;ActivateTask;read;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1183.8-41
__ASTREE_Task;ActivateTask;read;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1192.4-31
__ASTREE_Task;TerminateTask;read;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 8: T3_AttitudeObserver;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;TerminateTask;read;Process 5: IdleTask_OsCore_Core2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TaskExec;read;Process 5: IdleTask_OsCore_Core2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 5: IdleTask_OsCore_Core2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 5: IdleTask_OsCore_Core2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;TerminateTask;read;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 7: T2_EngineController;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;TerminateTask;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;ActivateTask;read;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1183.8-41
__ASTREE_Task;ActivateTask;read;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1192.4-31
__ASTREE_Task;TerminateTask;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;ActivateTask;read;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1183.8-41
__ASTREE_Task;ActivateTask;read;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:1192.4-31
__ASTREE_Task;OSEKmainMulticore;read;main-process;;;no;yes;global;osek_stub.c:4397.30-55
__ASTREE_Task;OSEKmainMulticore;write;main-process;;;no;yes;global;osek_stub.c:4394.6-29
__ASTREE_Task;OSEKmainMulticore;write;main-process;;;no;yes;global;osek_stub.c:4395.6-34
__ASTREE_Task;OSEKmainMulticore;write;main-process;;;no;yes;global;osek_stub.c:4396.6-28
__ASTREE_Task;TerminateTask;read;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TerminateTask;read;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TaskExec;read;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1261.6-41
__ASTREE_Task;TerminateTask;write;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;ActivateTask;read;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1183.8-41
__ASTREE_Task;ActivateTask;read;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:1192.4-31
__ASTREE_Task;ActivateTask;read;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1183.8-41
__ASTREE_Task;ActivateTask;read;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1183.45-82
__ASTREE_Task;ActivateTask;read;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1187.4-37
__ASTREE_Task;ActivateTask;write;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:1192.4-31
about_x_axis__DiscreteTimeIntegrator;Sa2_controller_about__X_axis;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:181.42-78
about_x_axis__DiscreteTimeIntegrator;Sa2_controller_about__X_axis;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:193.3-39
about_x_axis__DiscreteTimeIntegrator;Sa2_controller_about__X_axis;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:193.3-39
about_y_axis__DiscreteTimeIntegrator;Sa3_controller_about_Y_axis;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:273.42-78
about_y_axis__DiscreteTimeIntegrator;Sa3_controller_about_Y_axis;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:285.3-39
about_y_axis__DiscreteTimeIntegrator;Sa3_controller_about_Y_axis;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AttitudeController.c:285.3-39
DiscreteIntegrator_wrapper;TASK_T1_Controllers;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:787.31-57
DiscreteIntegrator_wrapper;TASK_T1_Controllers;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:788.4-30
DiscreteIntegrator_wrapper;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:788.4-30
DiscreteTimeIntegrator;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:400.33-55
DiscreteTimeIntegrator;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:413.43-65
DiscreteTimeIntegrator;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:420.3-25
DiscreteTimeIntegrator;STEP_AltitudeObserver;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:420.3-25
DiscreteTimeIntegrator;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:383.33-55
DiscreteTimeIntegrator;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:392.43-65
DiscreteTimeIntegrator;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:397.3-25
DiscreteTimeIntegrator;STEP_HeightObserver;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:397.3-25
DiscreteTimeIntegrator1;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:382.41-64
DiscreteTimeIntegrator1;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:391.35-58
DiscreteTimeIntegrator1;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:421.4-27
DiscreteTimeIntegrator1;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:428.3-26
DiscreteTimeIntegrator1;STEP_AltitudeObserver;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:428.3-26
DiscreteTimeIntegrator1;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:365.41-64
DiscreteTimeIntegrator1;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:374.35-58
DiscreteTimeIntegrator1;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:397.62-85
DiscreteTimeIntegrator1;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:402.3-26
DiscreteTimeIntegrator1;STEP_HeightObserver;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:402.3-26
DiscreteTimeIntegrator2;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:371.15-38
DiscreteTimeIntegrator2;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:431.3-26
DiscreteTimeIntegrator2;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:434.5-28
DiscreteTimeIntegrator2;STEP_AltitudeObserver;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:431.3-26
DiscreteTimeIntegrator2;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:354.15-38
DiscreteTimeIntegrator2;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:404.3-26
DiscreteTimeIntegrator2;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:406.67-90
DiscreteTimeIntegrator2;STEP_HeightObserver;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:404.3-26
DiscreteTimeIntegrator3;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:358.30-53
DiscreteTimeIntegrator3;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:432.4-27
DiscreteTimeIntegrator3;STEP_AltitudeObserver;read;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:440.3-26
DiscreteTimeIntegrator3;STEP_AltitudeObserver;write;Process 10: T5_AltitudeObserver;OS_App1_Core2;OsCore_Core0;no;no;process local;AltitudeObserver.c:440.3-26
DiscreteTimeIntegrator3;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:341.30-53
DiscreteTimeIntegrator3;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:404.63-86
DiscreteTimeIntegrator3;STEP_HeightObserver;read;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:411.3-26
DiscreteTimeIntegrator3;STEP_HeightObserver;write;Process 9: T4_HeightObserver;OS_App1_Core1;OsCore_Core2;no;no;process local;HeightObserver.c:411.3-26
i;random_value;read;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;no;process local;copter_var2_4.c:779.4-5
i;random_value;read;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;no;process local;copter_var2_4.c:780.11-12
i;random_value;write;Process 11: T6_DSP;OS_App0_Core2;OsCore_Core0;no;no;process local;copter_var2_4.c:779.4-5
In_altCtr_AccZ_g_altObs_noiseVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:800.4-41
In_altCtr_AccZ_g_altObs_processVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:801.4-43
In_altCtr_AccZ_g_altObs_valid;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:802.4-33
In_altCtr_AccZ_g_altObs_value;STEP_AltitudeController;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AltitudeController.c:95.5-34
In_altCtr_AccZ_g_altObs_value;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:799.4-33
In_altCtr_AccZ_g_rem;STEP_AltitudeController;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AltitudeController.c:95.37-57
In_altCtr_AccZ_g_rem;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:790.4-24
In_altCtr_Altitude_m_altObs_noiseVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:792.4-45
In_altCtr_Altitude_m_altObs_processVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:793.4-47
In_altCtr_Altitude_m_altObs_valid;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:794.4-37
In_altCtr_Altitude_m_altObs_value;STEP_AltitudeController;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AltitudeController.c:93.30-63
In_altCtr_Altitude_m_altObs_value;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:791.4-37
In_altCtr_Altitude_m_rem;STEP_AltitudeController;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AltitudeController.c:93.66-90
In_altCtr_Altitude_m_rem;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:787.4-28
In_altCtr_VelocityZ_Ms_altObs_noiseVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:796.4-47
In_altCtr_VelocityZ_Ms_altObs_processVariance;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:797.4-49
In_altCtr_VelocityZ_Ms_altObs_valid;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:798.4-39
In_altCtr_VelocityZ_Ms_altObs_value;STEP_AltitudeController;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;AltitudeController.c:94.18-53
In_altCtr_VelocityZ_Ms_altObs_value;TASK_T1_Controllers;write;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:795.4-39
In_altCtr_VelocityZ_Ms_rem;TASK_T1_Controllers;read;Process 6: T1_Controllers;OS_App0_Core0;OsCore_Core1;no;no;process local;copter_var2_4.c:788.43-69
